                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0797,                0.65063,                 1.0153,                0.75751,                0.70227,                0.74447,                 0.5135,                 1.2426,                0.75874,                 1.0573,               0.006535,               0.006535,               0.006535
                     37,                 1.0778,                0.64566,                 1.0116,                0.75649,                0.70311,                0.74483,                0.51417,                 1.2429,                0.75747,                 1.0574,               0.006436,               0.006436,               0.006436
                     38,                 1.0706,                0.64178,                 1.0107,                 0.7592,                0.70153,                 0.7453,                0.51436,                 1.2423,                 0.7558,                 1.0575,               0.006337,               0.006337,               0.006337
                     39,                 1.0642,                0.63805,                 1.0106,                0.75988,                0.70252,                0.74604,                  0.515,                 1.2425,                0.75518,                 1.0577,               0.006238,               0.006238,               0.006238
                     40,                 1.0635,                0.63065,                 1.0069,                 0.7598,                0.70448,                 0.7468,                0.51551,                 1.2424,                0.75415,                 1.0578,               0.006139,               0.006139,               0.006139
                     41,                 1.0615,                0.62933,                 1.0062,                0.76067,                0.70471,                0.74728,                0.51621,                 1.2421,                 0.7532,                 1.0577,                0.00604,                0.00604,                0.00604
                     42,                 1.0535,                0.62947,                 1.0063,                0.76117,                0.70321,                0.74754,                 0.5165,                 1.2413,                0.75177,                 1.0574,               0.005941,               0.005941,               0.005941
                     43,                  1.047,                0.62017,                 1.0027,                0.75975,                0.70469,                0.74821,                0.51715,                  1.241,                0.75019,                 1.0572,               0.005842,               0.005842,               0.005842
                     44,                 1.0501,                 0.6214,                 1.0029,                0.76123,                0.70387,                0.74854,                0.51768,                 1.2408,                 0.7495,                 1.0571,               0.005743,               0.005743,               0.005743
                     45,                  1.041,                0.61406,                 1.0004,                0.76344,                  0.703,                0.74917,                0.51845,                 1.2407,                0.74869,                 1.0573,               0.005644,               0.005644,               0.005644
                     46,                   1.04,                 0.6118,                 1.0009,                0.76536,                0.70241,                0.74975,                 0.5186,                 1.2403,                0.74832,                 1.0571,               0.005545,               0.005545,               0.005545
                     47,                 1.0336,                0.60839,                0.99863,                0.76262,                0.70492,                0.74985,                0.51923,                 1.2399,                 0.7478,                  1.057,               0.005446,               0.005446,               0.005446
                     48,                 1.0349,                 0.6055,                0.99431,                0.76212,                0.70573,                0.74996,                0.51949,                 1.2394,                0.74735,                 1.0569,               0.005347,               0.005347,               0.005347
                     49,                 1.0294,                0.60585,                0.99802,                0.76109,                0.70549,                0.75003,                0.51935,                 1.2392,                 0.7469,                 1.0568,               0.005248,               0.005248,               0.005248
                     50,                  1.027,                0.59933,                0.99445,                  0.758,                0.70718,                0.75025,                0.52008,                 1.2389,                0.74586,                 1.0565,               0.005149,               0.005149,               0.005149
                     51,                 1.0193,                0.59491,                0.99382,                0.75994,                0.70634,                 0.7505,                0.52069,                 1.2387,                0.74526,                 1.0566,                0.00505,                0.00505,                0.00505
                     52,                 1.0212,                0.59522,                 0.9922,                0.76049,                0.70598,                0.75079,                0.52077,                 1.2385,                0.74488,                 1.0564,               0.004951,               0.004951,               0.004951
                     53,                 1.0154,                0.59215,                0.98948,                0.76213,                0.70506,                0.75117,                0.52114,                 1.2382,                0.74407,                 1.0562,               0.004852,               0.004852,               0.004852
                     54,                 1.0115,                0.58736,                0.98841,                0.76289,                0.70475,                0.75149,                0.52199,                 1.2378,                 0.7435,                 1.0561,               0.004753,               0.004753,               0.004753
                     55,                 1.0092,                0.58221,                0.98582,                 0.7632,                0.70482,                0.75176,                0.52225,                 1.2375,                0.74308,                  1.056,               0.004654,               0.004654,               0.004654
                     56,                  1.001,                0.57716,                0.98382,                0.75311,                0.71409,                0.75244,                0.52268,                 1.2374,                0.74244,                 1.0559,               0.004555,               0.004555,               0.004555
                     57,                 1.0024,                0.57723,                0.98494,                0.75884,                0.71542,                0.75281,                0.52311,                 1.2373,                0.74155,                 1.0559,               0.004456,               0.004456,               0.004456
                     58,                0.99653,                0.57414,                0.98355,                0.75645,                 0.7111,                0.75334,                0.52351,                 1.2371,                0.74113,                  1.056,               0.004357,               0.004357,               0.004357
                     59,                0.99199,                 0.5715,                0.98113,                0.76376,                0.71612,                0.75363,                0.52394,                 1.2369,                 0.7404,                 1.0558,               0.004258,               0.004258,               0.004258
                     60,                0.98957,                 0.5702,                0.98157,                 0.7643,                 0.7155,                0.75434,                0.52493,                 1.2366,                0.73952,                 1.0556,               0.004159,               0.004159,               0.004159
                     61,                0.98951,                 0.5654,                0.97833,                0.76358,                0.71416,                0.75472,                0.52544,                 1.2365,                0.73899,                 1.0555,                0.00406,                0.00406,                0.00406
                     62,                0.98584,                0.56522,                0.97818,                0.77035,                 0.7094,                0.75507,                0.52606,                 1.2363,                0.73825,                 1.0554,               0.003961,               0.003961,               0.003961
                     63,                0.98158,                0.55948,                0.97679,                0.77157,                0.70934,                0.75561,                0.52647,                  1.236,                0.73766,                 1.0553,               0.003862,               0.003862,               0.003862
                     64,                 0.9789,                0.55632,                0.97443,                0.76958,                0.71119,                0.75584,                0.52683,                 1.2361,                0.73664,                 1.0551,               0.003763,               0.003763,               0.003763
                     65,                0.97437,                0.55412,                0.97395,                0.77057,                0.71262,                0.75726,                0.52776,                 1.2362,                0.73599,                 1.0551,               0.003664,               0.003664,               0.003664
                     66,                0.97394,                0.55353,                0.97216,                0.77414,                0.71131,                0.75801,                0.52833,                 1.2366,                0.73522,                 1.0552,               0.003565,               0.003565,               0.003565
                     67,                0.96393,                0.54624,                0.97185,                0.79206,                0.70514,                0.75858,                  0.529,                 1.2369,                0.73468,                 1.0555,               0.003466,               0.003466,               0.003466
                     68,                0.96155,                0.54463,                0.97004,                0.79296,                0.70626,                0.75901,                0.52942,                 1.2367,                 0.7339,                 1.0553,               0.003367,               0.003367,               0.003367
                     69,                0.95931,                0.54392,                0.96706,                0.80059,                 0.7012,                0.75947,                 0.5301,                 1.2365,                0.73336,                 1.0551,               0.003268,               0.003268,               0.003268
                     70,                0.95714,                0.54015,                0.96661,                0.79393,                0.70281,                 0.7597,                0.53074,                 1.2363,                0.73246,                  1.055,               0.003169,               0.003169,               0.003169
                     71,                0.94764,                0.53315,                0.96406,                0.75932,                0.72065,                0.76024,                0.53131,                  1.236,                0.73193,                 1.0547,                0.00307,                0.00307,                0.00307
                     72,                0.94816,                0.53097,                0.96256,                0.76475,                0.73007,                0.76126,                0.53171,                 1.2358,                0.73137,                 1.0544,               0.002971,               0.002971,               0.002971
                     73,                0.94581,                0.53118,                0.96221,                  0.768,                0.72886,                0.76198,                 0.5322,                 1.2357,                0.73069,                 1.0542,               0.002872,               0.002872,               0.002872
                     74,                0.94149,                0.52477,                0.96145,                0.77024,                0.72909,                0.76259,                0.53264,                 1.2358,                0.73057,                  1.054,               0.002773,               0.002773,               0.002773
                     75,                 0.9361,                 0.5211,                0.95901,                0.77449,                0.72767,                0.76277,                0.53306,                 1.2358,                 0.7301,                  1.054,               0.002674,               0.002674,               0.002674
                     76,                0.93243,                0.51973,                0.95676,                0.78425,                0.72308,                0.76295,                0.53347,                  1.236,                0.72966,                  1.054,               0.002575,               0.002575,               0.002575
                     77,                0.93283,                0.51881,                0.95825,                0.78749,                0.72132,                0.76359,                0.53378,                 1.2361,                0.72931,                  1.054,               0.002476,               0.002476,               0.002476
                     78,                0.92388,                0.51274,                0.95382,                0.79014,                0.72108,                0.76435,                0.53407,                 1.2361,                 0.7294,                 1.0539,               0.002377,               0.002377,               0.002377
                     79,                0.92314,                0.51048,                0.95438,                0.78533,                0.72216,                0.76499,                0.53434,                 1.2362,                0.72941,                 1.0537,               0.002278,               0.002278,               0.002278
                     80,                0.91592,                0.50592,                0.95179,                0.79625,                0.71771,                0.76586,                0.53462,                 1.2362,                0.72968,                 1.0536,               0.002179,               0.002179,               0.002179
