1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,prompt,word
175.0,39.0,56.0,75.0,3.0,21.0,12.0,25.0,26.0,43.0,11.0,12.0,3.0,15.0,53.0,0.0,A picture of,middle
155.0,11.0,19.0,4.0,19.0,9.0,12.0,58.0,24.0,65.0,6.0,1.0,0.0,1.0,5.0,0.0,A picture of,residential
277.0,70.0,50.0,20.0,20.0,16.0,27.0,73.0,52.0,39.0,8.0,15.0,0.0,91.0,104.0,0.0,A picture of,area
95.0,23.0,90.0,25.0,115.0,41.0,121.0,20.0,134.0,2.0,18.0,18.0,0.0,360.0,122.0,1.0,A picture of,image
58.0,2.0,89.0,136.0,2.0,3.0,7.0,9.0,6.0,3.0,0.0,0.0,0.0,10.0,3.0,0.0,A picture of,lake
209.0,8.0,81.0,90.0,16.0,6.0,9.0,68.0,5.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,A picture of,neighborhood
254.0,10.0,795.0,921.0,0.0,3.0,1.0,75.0,5.0,0.0,1.0,1.0,5.0,44.0,36.0,4.0,A picture of,water
166.0,7.0,487.0,752.0,0.0,0.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,A picture of,dock
160.0,27.0,2.0,0.0,24.0,262.0,127.0,21.0,6.0,28.0,29.0,0.0,0.0,2.0,4.0,0.0,A picture of,soccer
83.0,28.0,43.0,111.0,1.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,85.0,7.0,0.0,A picture of,bridge
6.0,0.0,33.0,24.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,A picture of,near
96.0,13.0,2.0,0.0,174.0,39.0,37.0,13.0,2.0,18.0,5.0,0.0,0.0,0.0,1.0,0.0,A picture of,baseball
100.0,37.0,3.0,7.0,3.0,2.0,2.0,11.0,0.0,4.0,0.0,16.0,0.0,0.0,5.0,0.0,A picture of,shows
152.0,86.0,19.0,2.0,0.0,2.0,3.0,7.0,18.0,1.0,2.0,10.0,0.0,38.0,148.0,0.0,A picture of,industrial
417.0,160.0,36.0,8.0,10.0,6.0,11.0,13.0,27.0,11.0,9.0,23.0,3.0,27.0,81.0,0.0,A picture of,building
297.0,19.0,677.0,617.0,1.0,0.0,0.0,30.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,A picture of,boats
23.0,5.0,62.0,34.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,A picture of,harbor
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A picture of,trash
228.0,16.0,427.0,408.0,1.0,0.0,0.0,22.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,A picture of,marina
113.0,9.0,303.0,284.0,1.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,A picture of,docked
10.0,7.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,8.0,0.0,0.0,0.0,A picture of,group
59.0,13.0,4.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,26.0,1.0,2.0,2.0,0.0,A picture of,desert
198.0,16.0,100.0,131.0,2.0,11.0,5.0,78.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,A picture of,houses
29.0,1.0,9.0,13.0,0.0,2.0,2.0,42.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,A picture of,pool
17.0,6.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,arizona
14.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,suburb
27.0,11.0,1.0,0.0,1.0,0.0,0.0,5.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,A picture of,roundabout
161.0,71.0,10.0,6.0,4.0,2.0,5.0,16.0,46.0,2.0,3.0,9.0,0.0,21.0,7.0,0.0,A picture of,intersection
67.0,33.0,3.0,2.0,9.0,3.0,1.0,7.0,10.0,2.0,2.0,65.0,6.0,11.0,6.0,0.0,A picture of,aerial
15.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,circular
276.0,78.0,56.0,25.0,48.0,52.0,114.0,19.0,81.0,22.0,29.0,19.0,3.0,200.0,64.0,1.0,A picture of,city
9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,A picture of,traffic
6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,A picture of,circle
3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,apartment
7.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,A picture of,complex
57.0,20.0,16.0,2.0,1.0,1.0,4.0,5.0,6.0,2.0,0.0,6.0,0.0,26.0,13.0,0.0,A picture of,buildings
6.0,1.0,4.0,3.0,0.0,2.0,2.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,A picture of,swimming
3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,A picture of,people
299.0,26.0,7.0,9.0,25.0,63.0,40.0,32.0,1.0,584.0,64.0,4.0,0.0,0.0,4.0,0.0,A picture of,tennis
252.0,27.0,7.0,9.0,26.0,60.0,37.0,29.0,1.0,488.0,87.0,2.0,0.0,0.0,4.0,0.0,A picture of,court
69.0,26.0,68.0,38.0,2.0,6.0,6.0,4.0,6.0,2.0,1.0,1.0,0.0,114.0,20.0,0.0,A picture of,river
37.0,10.0,39.0,12.0,1.0,1.0,2.0,4.0,5.0,6.0,1.0,3.0,3.0,5.0,10.0,1.0,A picture of,sky
90.0,46.0,9.0,5.0,0.0,3.0,5.0,0.0,7.0,6.0,0.0,2.0,0.0,2.0,36.0,0.0,A picture of,site
9.0,6.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,A picture of,london
2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,california
5.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,A picture of,playground
15.0,1.0,1.0,0.0,3.0,7.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,A picture of,grass
6.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,A picture of,number
7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A picture of,proposed
106.0,53.0,9.0,9.0,1.0,2.0,4.0,6.0,16.0,31.0,1.0,3.0,0.0,1.0,14.0,0.0,A picture of,new
20.0,3.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,A picture of,san
10.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,A picture of,francisco
4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,A picture of,grassy
181.0,97.0,5.0,2.0,7.0,1.0,5.0,8.0,19.0,4.0,0.0,9.0,0.0,47.0,14.0,0.0,A picture of,highway
102.0,39.0,39.0,5.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,352.0,8.0,1.0,3.0,0.0,A picture of,plane
428.0,217.0,2.0,0.0,1.0,3.0,2.0,1.0,14.0,3.0,0.0,635.0,13.0,5.0,30.0,0.0,A picture of,airport
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,curve
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A picture of,pentagon
131.0,59.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,473.0,11.0,2.0,5.0,0.0,A picture of,runway
